# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.358038113734333310e+06	2.681374362077694196e-01	3.819573211844233423e+07	5.557260423230162521e+23	1.127717338002604031e+01	1.901887276864130838e+00	9.501178378238405164e-01	9.982747911938127938e-01
1.358774576919655548e+06	2.684652653860060689e-01	3.816887101893173903e+07	5.551826678552300083e+23	1.126926989620178254e+01	1.900550049035310884e+00	9.498202147810701490e-01	9.982751084432420763e-01
1.359511040104977787e+06	2.687932192842441559e-01	3.814201774400248379e+07	5.546396009335482179e+23	1.126136869558934706e+01	1.899213210546795372e+00	9.495224690027717074e-01	9.982754257432349121e-01
1.360247503290300025e+06	2.691212976621161768e-01	3.811517230792018771e+07	5.540968417798959346e+23	1.125346978238941809e+01	1.897876762108806847e+00	9.492246005355094995e-01	9.982757430936443077e-01
1.360983966475622263e+06	2.694495002791899019e-01	3.808833472492443770e+07	5.535543906153421718e+23	1.124557316079496516e+01	1.896540704430252022e+00	9.489266094258406170e-01	9.982760604943232696e-01
1.361720429660944501e+06	2.697778268949686531e-01	3.806150500922738761e+07	5.530122476601003716e+23	1.123767883499108677e+01	1.895205038218700899e+00	9.486284957203087176e-01	9.982763779451245822e-01
1.362456892846266739e+06	2.701062772688920255e-01	3.803468317501576990e+07	5.524704131335294120e+23	1.122978680915535854e+01	1.893869764180445614e+00	9.483302594654576811e-01	9.982766954459013631e-01
1.363193356031588977e+06	2.704348511603363869e-01	3.800786923644854128e+07	5.519288872541341436e+23	1.122189708745720438e+01	1.892534883020394298e+00	9.480319007078079618e-01	9.982770129965062855e-01
1.363929819216911215e+06	2.707635483286153222e-01	3.798106320765862614e+07	5.513876702395664632e+23	1.121400967405848448e+01	1.891200395442162563e+00	9.477334194938775713e-01	9.982773305967922450e-01
1.364666282402233453e+06	2.710923685329802435e-01	3.795426510275255889e+07	5.508467623066258511e+23	1.120612457311333365e+01	1.889866302148061727e+00	9.474348158701765277e-01	9.982776482466121371e-01
